"";"artist_id";"first_music";"similar_artists1";"similar_artists2";"similar_artists3";"music_tag1";"music_tag2";"music_tag3";"music_tag4";"music_tag5"
"54";6817;"Regorge in the Morgue";0;6808;16661;"death metal";"brutal death metal";"old school death metal";"swedish";"swedish death metal"
"55";12959;"Honey, Honey - From 'Mamma Mia!' Original Motion Picture Soundtrack";6426;0;0;"female vocalists";"soundtrack";"musical";"pop";"mamma mia"
"56";12172;"Como um Anjo - ao vivo";11249;0;0;"sertanejo";"sertaneja";"brazilian";"new sertanejo";"brasil"
"57";8587;"Hawaii";0;10122;14666;"chillwave";"electronic";"glo-fi";"noise-gaze";"dream pop"
"58";17299;"This Music";0;0;0;"midtempo bass";"tech house";"big room techno";"bass";"minimal techno"
"59";9507;"27 - Laser Mix";0;0;0;"synthpop";"italo disco";"new wave";"minimal wave";NA
"60";11285;"That's When I Reach for My Revolver";16676;10662;10848;"post-punk";"punk";"indie rock";"alternative";"80s"
"61";18108;"Still On It";0;0;0;"dirty south";"rap";"southern rap";"hip-hop";"houston"
"62";4440;"Patience";0;0;0;"alternative";"brasil";"post-rock";"band";"screamo"
"63";17867;"Genesis";0;0;0;"electronic";"dream pop";"experimental";"poptron";"psychedelic"
"64";8369;"Sparks";0;0;18444;"darkwave";"gothic rock";"gothic";"ethereal";"goth"
"65";5464;"Superman";2427;8245;2977;"acoustic";"singer-songwriter";"pop";"soul";"male vocalists"
"66";914;"Que sera";0;0;0;"pop";"danish";"dance";"trance";"electronic"
"67";16566;"Wild World";15821;0;0;"skins";"soundtrack";"british";"rock";"best serie ever"
"68";2389;"Misery Business";0;0;0;"deathcore";"metalcore";"melodic metalcore";"melodic death metal";"hardcore"
"69";2404;"Faith Part 2";1619;2931;617;"hip-hop";"canadian";"rap";"indie";"hip hop"
"70";380;"Under A Violet Moon";7412;11268;2441;"folk";"folk rock";"medieval";"celtic";"renaissance"
"71";10903;"Aire frÍo";10901;15507;0;"rock";"emo";"female vocalists";"punk rock";"rockmex"
"72";4271;"Dunkelheit";4272;1254;3509;"black metal";"dark ambient";"ambient black metal";"ambient";"norwegian black metal"
"73";2020;"Somebody to Love";325;797;523;"pop";"female vocalists";"gossip girl";"american";"dance"
"74";2265;"April Come She Will";2630;212;12623;"folk";"classic rock";"60s";"singer-songwriter";"acoustic"
"75";3509;"A Fine Day to Die";4272;1531;4287;"black metal";"viking metal";"thrash metal";"swedish artist";"metal"
"76";10389;"Hand Covers Bruise";233;8915;0;"ambient";"electronic";"soundtrack";"industrial";"instrumental"
"77";4685;"Чумачечая весна";0;0;0;"ukrainian";"pop";"rnb";"russian";"all"
"78";11630;"Stuntman";6150;11638;0;"electronic";"ambient";"krautrock";"berlin school";"earwaves"
"79";9201;"Up There";0;0;0;"pop";"dance";"eletro";NA;NA
"80";9092;"Jupiter";0;0;0;"j-pop";"japanese";"female vocalists";"jpop";"pop"
"81";2081;"In the Dark";2085;0;543;"electronic";"female vocalists";"pop";"rap";"dance"
"82";1073;"The Model - 2009 Remaster";0;0;1893;"electronic";"synthpop";"german";"electronica";"electro"
"83";1099;"Breathe";777;1394;11827;"electronic";"techno";"industrial";"breakbeat";"dance"
"84";2150;"Paint Your Target";5202;492;0;"post-hardcore";"alternative rock";"rock";"alternative";"fightstar"
"85";11954;"Cry Wolf";9245;13750;8866;"singer-songwriter";"female vocalists";"dream pop";"indie";"alternative"
"86";6876;"Dark Dance (Mainfloor)";6875;11;10;"dark electro";"ebm";"industrial";"harsh ebm";"german"
"87";17442;"promo[z]mnml 02";0;0;0;NA;NA;NA;NA;NA
"88";11491;"La descrizione di un attimo";15665;0;0;"italian";"pop";"rock";"italiana";"tiromancino"
"89";9759;"Чумачечая весна";0;0;0;"ukrainian";"pop";"rnb";"russian";"all"
"90";18043;"Siwa Moonlight";0;0;0;"electronic";"chillout";"groovesalad";"lounge";"digitalis"
"91";14124;"Mr. Pinstripe Suit";0;0;8066;"swing";"jazz";"big band";"neo-swing";"neo swing"
"92";3328;"Walk Like a Zombie";3455;9960;7679;"psychobilly";"rockabilly";"female vocalists";"punk";"punk rock"
"93";11249;"Dormi na Praça - ao vivo";14572;0;12172;"sertanejo";"brazilian country";"bruno e marrone";"musica brasileira";"brazilian music"
"94";15482;"La Bamba";17564;0;0;"rock";"latin";"tex-mex";"americana";"spanish"
"95";3570;"Ve Haaniyaan";0;0;0;"pop";"dance";"swedish";"finnish";"idol"
"96";3339;"Aaww-some";0;0;0;"electronic";"pop";"fun";"electro";"8-bit"
"97";17413;"Его виноградное величество";0;0;0;"grindcore";"funny grindcore";"happy grindcore";"russian";"russian grindcore"
"98";1621;"Think I Am - Melodiesinfonie Remix";0;0;6887;"hip-hop";"rap";"underground hip-hop";"new york";"hip hop"
"99";7718;"БЕЛАЯ ГВАРДИЯ. Часть 01. Глава 01. Фрагмент 01";0;0;0;"russian";"cynical";"audiobook";"literature";"cynicism"
"100";1557;"Lie to My Face";15046;0;5126;"deathcore";"death metal";"brutal deathcore";"grindcore";"metalcore"
"101";12957;"Camisa de Força - Ao Vivo";18269;18265;0;"christian";"worship";"christian rock";"brazilian";"brazilian christian rock"
"102";14365;"A veces tú";0;0;0;"female vocalists";"chile";"pop";"rock";"denisse malebran"
"103";2254;"24 Deep";0;2231;0;"horrorcore";"gangsta rap";"rap";"hip-hop";"sacramento"
"104";7882;"Evening over Rooftops - 2004 Remaster";0;0;0;"progressive rock";"psychedelic";"psychedelic rock";"hard rock";"classic rock"
"105";6438;"Ангел плачет";0;6434;0;"alternative";"emo";"emocore";"rock";"love"
"106";14680;"Take Me Baby";0;13183;4308;"electronic";"synthpop";"german";"electroclash";"electro"
"107";4804;"Punk Até Morrer";0;0;0;"punk rock";"punk";"female vocalists";"feminist";"brazilian"
"108";14730;"Liebe Macht Blind";9592;0;0;"ska";"german";"german ska";"deutscher ska";"ska punk"
"109";481;"I'm Just a Kid";0;536;403;"pop punk";"punk rock";"rock";"punk";"simple plan"
"110";1345;"Can U Deliver";8386;5823;12939;"heavy metal";"power metal";"metal";"traditional metal";"5 of 10 stars"
"111";7644;"Shoreline - Radio Version";5542;14632;0;"singer-songwriter";"swedish";"female vocalists";"pop";"indie"
"112";17816;"Follow Me To DIe";0;0;0;"psychobilly";"power psychobilly";"rockabilly";"brazilian";"psycho"
"113";16576;"Tänd ett ljus";0;0;0;"drum and bass";"dnb";"christmas";"progressive rock";"ambient"
"114";10568;"Focus on the Light";0;0;0;"hardcore";"straight edge";"youth crew";"hardcore punk";"belgian"
"115";14123;"If You Do Love This Girl";14134;0;0;"blues";"guitar blues";"guitar";"singer-songwriter";"rock"
"116";10141;"Guilty";0;0;0;"female vocalists";"barbra streisand";"classic rock";"barbra streisand y barry gibb";"80s"
"117";5969;"Two Birds, One Stone";0;2430;1185;"post-hardcore";"screamo";"hardcore";"metalcore";"emocore"
"118";11093;"Merlin's Gun";0;0;0;"ebm";"industrial";"electronic";"synthpop";"electroclash"
"119";5749;"Levo Comigo";1659;2080;4850;"powerpop";"rock";"pop punk";"brazilian";"pop rock"
"120";3796;"I Love U";3123;0;10967;"pop";"female vocalists";"electronic";"hip-hop";"bri11i4nt"
"121";10418;"Mistério do Planeta";0;11763;11935;"mpb";"tropicalia";"samba";"brazilian";"brasil"
"122";6513;"花心";0;0;0;"taiwan";"chinese";"mandarin";"pop folk";"pop"
"123";10397;"Two A.M.";1606;16074;0;"hip-hop";"underground hip-hop";"def jux";"new york";"rap"
"124";335;"Me Espera";0;0;4708;"mpb";"alternative";"folk";"piano";"acoustic"
"125";6614;"A Little Faster";0;0;6251;"pop punk";"alternative";"rock";"alternative rock";"emo"
"126";6804;"Human Soul";9323;0;0;"industrial metal";"cyber metal";"industrial";"electronic";"metal"
"127";7486;"Untitled - mixed";7494;0;7469;"idm";"electronic";"techno";"richard d james";"rephlex"
"128";14222;"New Light Of Tomorrow";3164;5927;5197;"downtempo";"chillout";"electronic";"indie";"finnish"
"129";12696;"Estrelas";0;0;0;"rock";"hard rock";"brazil";"gospel";"pop rock"
"130";8461;"In Circles - Remastered";17307;8469;13522;"emo";"indie rock";"indie";"alternative";"alternative rock"
"131";7866;"까탈레나 (Catallena)";413;0;0;"k-pop";"deek";"korean";"pop";"kpop"
"132";14304;"Immortal Life";0;7421;14305;"thrash metal";"old school thrash metal";"metal";"bay area thrash metal";"thrash"
"133";5775;"Lua de Cristal";7453;0;0;"female vocalists";"infantil";"pop";"brazil";"brazilian"
"134";2713;"Стволок За Поясок";0;480;1583;"russian rap";"rap";"hip-hop";"russian";"underground hip-hop"
"135";9160;"Uptown Funk (feat. Bruno Mars)";5836;461;0;"funk";"british";"pop";"hip-hop";"dj"
"136";17027;"Girls vs. The Lady";17017;0;0;"danish";NA;NA;NA;NA
"137";10539;"Episodio 1 (Felipe Pérez)";0;0;10531;"costa rica";"nada";NA;NA;NA
"138";17404;"La Nonna Di Frederick Lo Portava Al Mare";0;0;0;"italian";"jazz";"experimental";"rock";"77davez-all-tracks"
"139";17770;"BRAVE HEARTs";0;17771;0;"japanese";"anime";"female vocalists";"ost";NA
"140";12273;"Take The Reins";3333;16892;10579;"punk rock";"punk";"female vocalists";"pop punk";"rock"
"141";15661;"Softness";0;0;0;"electronic";"experimental";"norwegian";"soul";"funk"
"142";16394;"Небо";0;0;0;NA;NA;NA;NA;NA
"143";17030;"Háblate";0;0;0;"cuba";"cuban";"latin";"hip hop";"jazz"
"144";6108;"Ugo ~ Stone Circle";0;0;0;"japanese";"j-pop";"instrumental";"soundtrack";"video game"
"145";12046;"Hamilton Road";10108;0;0;"lo-fi";"psychedelic";"experimental";"tropical";"drone"
"146";10867;"Autumn Harmony";1917;10870;10864;"gothic metal";"finnish";"gothic rock";"metal";"finnish metal"
"147";2895;"Slabo Day";17214;0;13272;"blues";"blues rock";"guitar";"fleetwood mac";"classic rock"
"148";1252;"I Tune In";1303;0;0;"ebm";"industrial";"synthpop";"electronic";"futurepop"
"149";13007;"Forever";13008;12750;6074;"electronic";"synthpop";"funk";"electro indie";"dance"
"150";18243;"The Call";0;5199;0;"trip-hop";"chillout";"lush";"downtempo";"ethereal"
"151";10843;"Dexter - Main Theme";6051;0;0;"soundtrack";"instrumental";"dexter";"jazz";"composer"
"152";2578;"A Day in the Life of a Poolshark";0;15055;13523;"experimental";"post-hardcore";"electronic";"indie";"indie rock"
"153";981;"Jungle Drum";12989;14632;4113;"female vocalists";"icelandic";"lush";"trip-hop";"singer-songwriter"
"154";9130;"3Days 2Nights";0;13810;0;"rollerblading";"issoailuk";"underground hip-hop";"abstract hip-hop";NA
"155";18208;"Swing Low";17872;0;0;"rock";"indie";"alternative";"acoustic";"indie rock"
"156";17092;"Party Animal dirge";0;0;0;"witch house";"4";"dead raver";NA;NA
"157";5517;"Faith";0;0;0;"psytrance";"psychedelic trance";"trance";"psychedelic";"full on"
"158";17646;"Maybe This Time";0;7427;3304;"female vocalists";"jazz";"cabaret";"broadway";"showtunes"
"159";10774;"Space Cake";5366;1522;0;"thrash metal";"death metal";"german";"death thrash metal";"german thrash metal"
"160";11250;"06.Eu fui aparpa";0;11251;7084;NA;NA;NA;NA;NA
"161";13612;"Surrender";10674;0;0;"crust";"hardcore";"crust punk";"d-beat";"punk"
"162";11757;"Lemonade";11752;0;11761;"hip-hop";"rap";"jazz hop";"asfalt";"nieslychany wykurw"
"163";2090;"ハルカカナタ";0;0;0;"j-rock";"japanese";"rock";"punk";"female vocalists"
"164";4435;"An Honest Mistake";5439;2600;443;"indie rock";"indie";"alternative";"rock";"alternative rock"
"165";13669;"Ojalá";0;13586;3897;"trova";"cuba";"cantautor";"nueva trova";"singer-songwriter"
"166";11610;"6h22 un 20 septembre";0;0;0;"post-rock";"screamo";"post-hardcore";"experimental";"french"
"167";13381;"Od Mora Do Mora";12836;0;0;"rock";"croatian";"ex-yu rock";"split";NA
"168";5724;"Smak słów";0;14902;9161;"polish";"pop";"female vocalists";"melancholic";"doom metal"
"169";6550;"Bitter";16967;0;0;"industrial";"ebm";"electronic";"female vocalists";"dark electro"
"170";13101;"Salesman in Love";0;0;0;"folk";"indie";"first name";"acustic";NA
"171";12228;"Obsession";515;0;8668;"darkwave";"gothic rock";"gothic";"synthpop";"electronic"
"172";9226;"A Ring to Rule";0;0;8326;"black metal";"raw black metal";"finnish black metal";"finnish";"finland"
"173";2264;"Some Are Lakes";0;18376;433;"indie rock";"canadian";"indie";"female vocalists";"alternative"
"174";10137;"Love (A Brokeback Mountain Remix)";10128;0;0;NA;NA;NA;NA;NA
"175";13518;"The Fire";0;0;0;"folk";"indie";"mellow";"check out";"best songs of 2011"
"176";1644;"Melodies from Hell";0;0;0;"samba rock";"brazilian";"bossa nova";"rock";"alternative"
"177";11509;"Lay There & Hate Me";0;0;0;"rock";"alternative rock";"alternative";"blues rock";"blues"
"178";15405;"As Long as You're There";0;0;0;"musical theatre";NA;NA;NA;NA
"179";17126;"Boohey Bariyan";0;0;0;"pakistan";"pop";"urdu";"pakistani";"world"
"180";14677;"I'm Never Wrong";0;0;0;"witch house";"electronic";"chillwave";"lo-fi";"trianglecore"
"181";1571;"Плохая девочка";478;11722;0;"pop";"russian";"russian pop";"female vocalists";"dance"
"182";7384;"Hildako Gizona";0;0;0;"post-hardcore";"post-rock";"experimental";"spanish";"noise rock"
"183";13539;"Something To Do With My Hands";3248;14064;6422;"indie";"electronic";"indie pop";"electronica";"indietronica"
"184";7313;"Yaz Gazeteci Yaz";0;0;0;"psychedelic";"turkish";"anatolian rock";"folk";"psychedelic rock"
"185";12151;"Bad Boys";10687;0;0;"aor";"hard rock";"melodic rock";"classic rock";"metal ballad"
"186";15961;"Narcotic - Radio Edit";185;7183;0;"rock";"alternative rock";"alternative";"german";"pop"
"187";13563;"Pink Bikini";13564;13565;0;"ambient";"lounge";"electronic";"chillout";"gimme sum quiet time"
"188";987;"September";0;8984;1427;"funk";"soul";"disco";"70s";"rnb"
"189";8748;"Salir De La Melancolía";5241;0;0;"argentina";"progressive rock";"rock argentino";"rock";"80s"
"190";4912;"Mitternacht - 2023 Remastered";1300;1704;18524;"electronic";"gothic";"german";"industrial";"trance"
"191";3151;"Islamatronic cantilliation";0;0;0;"dub";"electronic";"world music";"ethnic";"experimental"
"192";18456;"إلى هنا";0;0;0;"arabic";"lebanese";"arabic pop";"pop";"lebanon"
"193";1848;"Misty";14147;15774;2638;"jazz";"female vocalists";"vocal jazz";"blues";"jazz vocal"
"194";1464;"Dancing Queen";1465;6703;9037;"pop";"disco";"70s";"swedish";"abba"
"195";9891;"Strika";0;0;0;"shoegaze";"ambient";"drone ambient";"rock";"space rock"
"196";17799;"Theme from S-Express";0;0;17792;"house";"acid house";"dance";"80s";"electronic"
"197";16732;"Love My Way - Craig Connelly Remix";0;0;1305;"trance";"vocal trance";"female vocalists";"electronic";"house"
"198";9255;"Dance Hall Days";1006;994;100;"new wave";"80s";"pop";"british";"pop rock"
"199";9630;"The Stations";0;6730;869;"alternative rock";"rock";"alternative";"mark lanegan";"greg dulli"
"200";17516;"I Will Survive";1820;0;0;"disco";"70s";"soul";"female vocalists";"pop"
"201";5745;"águas de março";11764;0;270;"mpb";"bossa nova";"brazilian";"female vocalists";"brasil"
"202";2292;"Skating in Central Park";0;0;0;"jazz";"jazz piano";"piano";"bebop";"jazz fusion"
"203";7300;"Open Your Heart (Radio Edit)";0;0;0;"house";"dance";"electronic";"party";"progressive house"
"204";15871;"Nothing To Be Done";0;5229;0;"indie pop";"twee";"scottish";"c86";"indie"
"205";18071;"Fuck A Bitch";0;0;0;"dubstep";"electronic";"dancehall";"dub";"grime"
"206";16070;"themaddnesstrack";3123;0;0;NA;NA;NA;NA;NA
"207";15497;"More Bang For Your Buck";0;0;0;"post-hardcore";"experimental";"trancecore";"electronic";"metalcore"
"208";17468;"Sensuous Bite";17467;0;0;"rnb";"mariah carey";"england";"fm 1006";"lady gaga"
"209";11847;"U no Hane";11822;5980;0;"japanese";"anime";"soundtrack";"instrumental";"composer"
"210";6979;"Omne Ensis Impera";0;0;6649;"martial industrial";"neoclassical";"dark ambient";"industrial";"martial"
"211";6508;"Super Star";0;6507;5574;"c-pop";"chinese";"taiwan";"pop";"cpop"
"212";3975;"Hey Baby (radio mix)";0;0;0;"party";"dance";"schlager";"pop";"dj oetzi"
"213";5507;"Pranava";5491;0;0;"progressive trance";"psytrance";"progressive psytrance";"psychedelic";"trance"
"214";15614;"Scatman (Ski-Ba-Bop-Ba-Dop-Bop)";0;3982;3978;"dance";"pop";"90s";"eurodance";"scat"
"215";11041;"Deaf Ears, Silent Voice";0;16255;11004;"noise rock";"experimental";"punk";"noisecore";"noise"
"216";13626;"Arrested";0;0;0;"hardcore punk";"hardcore";"punk";"punk rock";"richmond"
"217";16152;"Angel Numbers Amapiano - Remix";0;0;0;"pop";"female vocalists";"heavy metal";"british";"girl band"
"218";7172;"Voices We Were";0;0;0;"new age";"celtic";"ethereal";"folk";"relaxing"
"219";9556;"Hasbi Rabbi";17113;0;0;"islam";"nasheed";"arabic";"azerbaijan";"islamic"
"220";4241;"Запутался в себе";4233;0;0;"acoustic";"russian";"emo";"acoustic emo";"indie"
"221";6575;"Sol Niger Within";2151;0;11703;"progressive metal";"math metal";"experimental";"technical metal";"metal"
"222";17323;"Intro";0;0;0;"french hip hop";"french rap";"rap francais";"rap";"hip hop"
"223";7546;"La Chica de Chicago";0;0;0;"salsa";"venezuela";"rock venezolano";"all";"rock"
"224";9054;"Bu Kalp Seni Unutur Mu";0;0;0;"turkish";"singer-songwriter";"anadolu rock";"turkish rock";"folk"
"225";1416;"My Sweet Lord (2014 Remaster)";733;227;1414;"classic rock";"rock";"singer-songwriter";"british";"70s"
"226";18429;"Lijatura";0;0;0;"italian";"folk";"singer-songwriter";"blues";"indie"
"227";14614;"Bleed For You";15321;0;11548;"emo";"pop punk";"rock";"alternative";"screamo"
"228";8061;"Lovelovelove";220;0;0;"funk";"funk rock";"rock";"progressive rock";"bass"
"229";5415;"Sugar Water";0;0;0;"trip-hop";"japanese";"electronic";"female vocalists";"alternative"
"230";833;"Not the Fallen";4935;1567;4944;"deathcore";"beatdown";"hardcore";"death metal";"metalcore"
"231";14043;"Heaven's Frequency";0;0;12683;"christian";"female vocalists";"pop";"christian pop";"worship"
"232";17935;"Get Bent";0;0;0;"hardcore";"hardcore punk";"thrash";"punk";"american"
"233";597;"Friday on My Mind";563;8575;0;"60s";"classic rock";"psychedelic";"australian";"rock"
"234";12418;"Aşk Şarkısı - Live";0;0;12420;"rap";"hip-hop";"susamam";"turkish";"protest"
"235";16336;"Jacuzzi Jazz";0;18043;0;"lounge";"downtempo";"chillout";"electronic";"ambient"
"236";16350;"Yes Boss";90;0;0;"electronic";"experimental";"danish";"electronica";"chillout"
"237";18193;"Stop Eating";2496;772;2669;"idm";"glitch";"electronic";"electronica";"experimental"
"238";13713;"Not Ready To Go";0;12565;14052;"rock";"canadian";"alternative rock";"alternative";"indie rock"
"239";146;"Keep You Kimi";7492;0;0;"chillout";"lounge";"downtempo";"nu-jazz";"nu jazz"
"240";17940;"Game Time";17947;0;9128;"grindcore";"hardcore";"cinema-grind";"screamo";"grind"
"241";4985;"In The Heat Of The Night";10864;1917;10867;"gothic metal";"finnish";"gothic rock";"metal";"gothic"
"242";13922;"Rap Dirty";0;0;0;"funk";"soul";"comedy";"hip-hop";NA
"243";14977;"Su una rupe";0;0;14973;"progressive rock";"italian progressive rock";"italian";"rock progressivo italiano";NA
"244";4925;"Be a Star - From ""Life-Size""";0;3796;3123;"pop";"smell of female";"cavern of love";"feminine cavern of love";"jibby"
"245";3042;"Retrospect";0;16272;0;"hardcore";"hardcore punk";"melodic hardcore";"straight edge";"punk"
"246";1803;"Kickstart My Heart";4165;1808;4460;"hard rock";"heavy metal";"hair metal";"80s";"glam metal"
"247";17672;"Dies for Myself";0;17656;12802;"visual kei";"j-rock";"japanese";"rock";"indie"
"248";617;"You Got Me";249;0;271;"hip-hop";"rap";"hip hop";"soul";"alternative rap"
"249";10542;"HINO DO TRICOLOR";0;0;0;NA;NA;NA;NA;NA
"250";8210;"Lost in the Plot";0;2407;0;"indie";"indie rock";"canadian";"alternative";"rock"
"251";12389;"Devil Dressed in Blue";11412;0;195;"folk";"acoustic";"indie";"lo-fi";"singer-songwriter"
"252";17769;"Hungarian Dance no. 5";0;16333;0;"classical";"johannes brahms";"composers";"electronic";"indie"
"253";3074;"Cotidiano De Um Casal Feliz";6647;0;10693;"brazilian";"pop rock";"rock";"alternative";"pop"
"254";7745;"Weekends and Bleak Days (Hot Summer)";443;7663;0;"indie rock";"indie";"british";"rock";"alternative"
"255";14410;"What Happened to The Lost Art of Headwalking?";0;0;0;"nu-prog";"my prog rock favs";NA;NA;NA
"256";5645;"Free Time";7527;0;0;"reggae";"ska";"skinhead reggae";"dirty reggae";"rocksteady"
"257";1885;"You Spin Me Round (Like a Record)";3768;2552;2559;"new wave";"80s";"synthpop";"pop";"dance"
"258";11894;"Echoes Of The Lost Sea";0;0;0;"dark ambient";"ambient";"atmospheric";"experimental";"electronic"
"259";15350;"No Promises";0;0;6368;"pop";"danish";"male vocalists";"singer-songwriter";"denmark"
"260";14968;"A Volte Un Istante Di Quiete";14950;14952;0;"progressive rock";"italian";"italian progressive rock";"italian symphonic prog";"italian prog"
"261";4186;"Forever Family";4200;0;0;"punk";"punk rock";"rock";"punk-rock";"punk favorites"
"262";17099;"Ezeli Nur";0;12447;0;"chillout";"ambient";"sufi";"nasheed";"ilahi"
"263";3315;"Thong Song";0;11065;11063;"rnb";"hip-hop";"soul";"pop";"sisqo"
"264";9207;"We Are the Gore";0;0;0;"goregrind";"grindcore";"deathgrind";"death metal";"grind"
"265";16628;"No Estar Aquí";0;0;12094;"punk";"punk rock";"hardcore punk";"chile";"chilean"
"266";13437;"There Is No Night";0;12734;9436;"celtic";"folk";"irish";"violinist";"instrumental"
"267";1768;"Sobre O Tempo";4819;0;3376;"brazilian";"rock";"female vocalists";"alternative";"brasil"
"268";5264;"Jessie's Girl";8994;5156;3675;"80s";"rock";"classic rock";"pop";"pop-rock"
"269";711;"What It Is";712;0;0;"rock";"classic rock";"singer-songwriter";"blues";"guitar"
"270";8126;"My Babe";0;0;581;"blues";"harmonica blues";"chicago blues";"harmonica";"delta blues"
"271";7097;"Mujer Amante";6282;7107;7108;"heavy metal";"power metal";"rock";"spanish";"argentina"
